company_name,company_age,diversity_score,glassdoor_rating,hq_region
Duran PLC,6,7.68,4.8,Europe
Campbell-Hall,80,9.67,3.0,Asia
Andrade-Jackson,38,9.67,4.4,South America
Howard-Jordan,99,8.25,4.0,Europe
Williams PLC,98,5.74,3.8,Oceania
Cole Group,94,9.99,3.1,Oceania
"Burns, Lopez and Jones",92,9.29,4.9,South America
Byrd LLC,28,5.78,3.7,Asia
Short PLC,50,9.77,4.1,South America
"Garner, Lewis and Kennedy",40,7.44,3.6,Europe
Winters PLC,3,6.78,3.2,South America
Wade-Lynn,41,6.67,2.7,Africa
Wright PLC,9,6.84,3.4,Europe
"Brown, Schneider and Moore",17,9.54,4.2,Oceania
Gay Inc,88,6.98,3.8,South America
"Gardner, Robinson and Lawrence",66,8.22,2.8,North America
Jones-Bradley,26,6.15,4.1,Europe
"Leonard, Ballard and Miller",30,8.95,4.3,Europe
"Cole, Pierce and Bryan",45,7.59,3.2,South America
"Turner, Tyler and Pierce",78,6.22,5.0,South America
Warren and Sons,6,7.07,3.0,North America
Ramirez-Vasquez,55,7.46,2.5,North America
"Mcbride, Huffman and Parker",41,6.04,4.7,Asia
"Gonzalez, Curtis and Cox",26,6.22,3.0,South America
"Hill, Martinez and Rhodes",87,7.57,3.3,South America
Walker LLC,37,8.56,4.0,South America
Cox Ltd,19,7.8,3.7,South America
Jackson-Jennings,71,6.55,4.5,Africa
Lopez-Willis,53,9.75,3.8,North America
"Richard, Davis and Rogers",55,9.35,3.0,North America
"Hernandez, Shaffer and Thompson",26,8.73,4.1,South America
"Lopez, Hess and Smith",36,5.05,3.0,Africa
Higgins Group,35,6.21,2.8,Oceania
Doyle Ltd,68,5.67,2.9,Africa
Allen Inc,45,8.92,2.7,North America
Hernandez-Dawson,19,6.66,4.5,Europe
Ross Ltd,53,9.35,2.9,Asia
Peterson Ltd,83,6.6,4.8,Europe
Moody-Taylor,12,5.71,4.3,South America
"Bell, Campbell and Ryan",23,9.59,2.6,Europe
Huynh PLC,30,6.48,3.9,South America
Wilkerson-Arias,96,7.32,2.8,Africa
Guerrero Inc,32,8.62,3.5,Africa
Yates-Manning,5,7.87,3.5,South America
Clark Ltd,92,7.99,3.4,South America
Lopez PLC,52,9.66,4.5,South America
"Lucas, Parker and Alexander",37,8.23,3.4,South America
Austin-Duran,22,9.59,4.6,Oceania
Stevens-Sullivan,64,7.36,2.8,Europe
Bowers Group,31,6.82,3.6,Africa
"Robinson, Huang and Osborne",86,7.05,2.6,Africa
Robertson-Keller,68,6.47,4.5,South America
Richard-Russell,60,9.67,4.9,Europe
"Carroll, Sullivan and Bass",43,7.1,3.8,Oceania
"Young, Wilson and Moreno",22,9.94,3.9,South America
"Wallace, Roman and Lawson",64,5.48,4.6,Europe
Colon-Lucas,20,9.93,5.0,North America
Andersen LLC,28,8.6,4.9,Africa
Martin-Ewing,35,8.85,3.3,Oceania
Graham-Anthony,56,5.09,3.3,South America
Morgan LLC,13,5.89,3.8,North America
Jackson-Meza,36,6.6,3.0,Oceania
Rogers LLC,78,6.26,2.7,South America
Ferguson-Lyons,19,8.65,4.8,Europe
"Mitchell, Noble and Stokes",54,5.11,2.8,Europe
Woods-Anderson,27,7.93,4.2,Oceania
Hunter PLC,98,7.42,5.0,Asia
Dawson Inc,58,8.76,4.9,South America
Howard Inc,22,8.15,4.3,Asia
Hall-Brown,3,5.1,2.6,Africa
Kelley-Anderson,79,9.99,4.0,South America
"Bishop, Thomas and Powell",78,5.95,3.2,South America
Sims-Weber,88,7.82,3.1,Asia
Higgins Inc,43,7.63,3.5,Asia
Martin-Ewing,91,5.84,2.6,North America
"Soto, Vaughn and Griffin",19,5.48,4.9,North America
"Wright, Mcknight and Stephens",26,9.79,4.8,South America
"Brown, Jensen and Rice",12,5.74,3.9,South America
Hoover-Davis,80,5.6,2.8,Africa
Turner-Stout,95,5.7,4.3,Africa
Bell-Hardy,68,8.06,3.0,Africa
"Williams, Randolph and Gilbert",59,8.08,4.6,South America
"Mitchell, Noble and Stokes",98,6.43,3.5,Europe
Ferguson-Lyons,94,5.48,3.0,North America
"Curry, Perry and Garcia",84,6.73,2.9,South America
Baker-Ross,85,7.05,5.0,Oceania
Blevins-Ballard,45,9.31,2.8,Africa
"Williams, Mccoy and Cook",55,9.79,3.6,Oceania
Evans-Cannon,16,6.91,3.0,South America
Haynes Inc,70,8.94,4.0,Asia
Sullivan Group,74,7.27,2.6,Oceania
"Lopez, Nichols and Clarke",40,8.96,4.3,South America
Reed Group,17,9.2,4.4,Europe
Burton Ltd,2,7.04,3.1,Asia
"Serrano, Marsh and Gonzalez",22,8.58,4.4,North America
Cox Ltd,46,8.7,3.3,Asia
Ray Ltd,51,6.07,3.5,Europe
"Wood, Martin and Sanchez",10,9.02,2.9,Asia
"Kennedy, Valdez and Stafford",86,5.88,3.1,North America
"Johnston, Sanchez and Kennedy",97,6.9,4.3,Asia
Wright Ltd,75,7.8,4.5,Europe
Paul-Kline,1,5.46,3.2,South America
Mendoza Group,34,6.34,3.6,Africa
Ortiz Ltd,20,8.26,4.2,Asia
Salazar Inc,31,6.37,4.9,Oceania
Vargas-Snyder,36,7.62,2.9,Africa
"Quinn, Humphrey and Ford",87,7.79,3.6,Europe
Duran LLC,98,6.57,4.7,Africa
Li Inc,85,8.65,4.1,Europe
Bryant-Meyer,43,8.66,3.1,Asia
"Ross, Hardin and Navarro",61,5.2,3.7,Africa
James Group,71,7.88,4.3,Africa
"Cole, Glass and Cunningham",62,9.45,4.3,South America
Long-Parks,32,9.66,2.6,Africa
Weaver LLC,85,6.19,3.9,Oceania
Ochoa LLC,33,5.64,3.4,Europe
Smith-Joyce,89,7.27,3.0,Oceania
Prince Ltd,73,8.21,5.0,Africa
Ochoa LLC,36,9.76,4.4,Asia
Ross LLC,67,7.73,3.3,Asia
Underwood PLC,35,8.84,4.9,Africa
Anderson-Campbell,93,7.79,3.5,South America
"Williams, Hughes and Hubbard",27,9.52,4.5,North America
Lee-Gregory,84,8.37,3.0,South America
"Morris, Ramos and Smith",65,8.6,4.3,Africa
Hernandez-Davis,78,8.81,4.5,South America
"Brown, Schneider and Moore",89,5.47,4.2,Africa
Lucas-Johnson,35,6.61,5.0,North America
"Washington, Hardy and Bray",91,8.32,4.9,Asia
Edwards-Ramsey,50,7.39,4.6,Europe
"Pittman, Campbell and Martin",94,5.17,4.6,North America
"Mayer, Fowler and Livingston",93,9.13,3.9,South America
Ochoa LLC,37,9.27,4.5,Africa
"Martinez, Green and Lopez",85,6.63,3.8,North America
Turner-Stout,74,7.74,3.6,South America
Butler-French,81,8.68,2.7,South America
Lutz Group,81,6.91,3.9,Oceania
Williams-Berg,30,5.18,4.5,North America
"Harris, Stephens and Kramer",75,5.47,2.8,Europe
"Gallegos, Adams and White",46,8.89,4.7,Asia
George-Stephens,57,7.55,3.3,South America
Barton-Chapman,31,8.57,4.7,South America
Tapia LLC,18,8.03,4.6,Oceania
Peters Ltd,61,7.17,3.5,South America
"Lopez, Jacobs and Mason",19,8.67,3.5,North America
"Turner, Tyler and Pierce",22,9.23,4.5,Asia
Johnson-Munoz,17,7.89,3.4,Europe
"Meyer, Dawson and Harper",74,7.5,3.5,Africa
Stevens-Sullivan,78,6.89,4.8,Oceania
"Carter, Alexander and Hunter",97,8.25,3.6,South America
"Williams, Hughes and Hubbard",50,5.89,5.0,Africa
Durham-Myers,35,6.03,3.1,Asia
Smith-Holt,72,9.34,3.9,Africa
White-Morales,2,8.22,3.6,Africa
"Gregory, Nguyen and Daugherty",31,5.36,3.6,North America
"Guzman, Hoffman and Baldwin",13,6.81,3.4,Africa
"Cruz, Middleton and Larsen",29,7.19,3.3,North America
"Herring, Huynh and King",58,8.48,4.3,South America
"Marsh, Spears and Yang",55,5.15,3.4,North America
Robertson-Hicks,11,6.38,2.6,Europe
"Macdonald, Willis and Silva",48,9.5,3.0,Africa
Stafford Inc,13,9.19,3.5,North America
Anderson-Bell,58,8.64,3.1,North America
"Cox, Mills and Cruz",83,7.01,3.2,Oceania
Gray-Ruiz,73,5.06,4.3,Europe
Montgomery PLC,52,6.41,4.2,South America
Wells-Perkins,5,8.06,3.8,North America
"Richardson, Brown and Cruz",98,6.4,3.4,South America
"Brown, Hayes and Clark",9,7.56,3.2,South America
"Ortega, Solis and Warner",9,6.84,3.5,Oceania
Howard-Jordan,16,7.05,3.0,Europe
Long-Parks,21,5.31,4.1,Europe
"White, Washington and Newman",78,5.78,3.0,North America
Richardson-Gray,37,6.38,2.8,Oceania
Werner-Carter,48,6.46,3.6,North America
"Warren, Gibson and Wood",32,6.81,3.8,South America
"Walker, Cunningham and Zuniga",6,8.62,4.3,Oceania
"Allen, Armstrong and Graves",31,5.96,4.7,Oceania
"Jackson, Jackson and Perry",4,7.3,2.6,Europe
Phillips LLC,77,8.03,2.6,Europe
"Conner, Li and Santiago",82,5.4,3.2,South America
Garcia PLC,37,5.7,3.1,North America
"Pierce, Wang and Wilson",75,7.9,4.9,South America
Harris-Carson,78,7.92,3.3,Africa
Todd-Harvey,31,8.19,3.6,North America
"Braun, Mays and Martinez",60,5.55,3.2,Oceania
"Andrews, Higgins and Carter",54,7.98,2.7,Asia
Dickson-Brady,26,7.15,4.0,North America
Franklin Group,51,9.85,3.6,Oceania
Love-Garcia,32,7.93,4.4,Africa
Wright Ltd,61,5.52,3.5,North America
Delgado Group,94,8.72,4.0,Asia
"Dyer, Potter and Mack",32,8.29,3.7,Asia
Bruce-Walters,45,7.5,4.3,Africa
Robinson-Lee,25,5.73,2.8,South America
Smith-Grimes,67,8.03,4.7,Africa
"Hahn, Williams and Mcmillan",9,9.43,4.1,Oceania
Larson and Sons,21,7.95,4.7,Oceania
"Tapia, Vaughn and Lee",58,5.58,3.7,Europe
"Gregory, White and James",36,6.1,3.6,Oceania
"Nguyen, Wallace and Lawson",87,8.76,2.9,Oceania
Stephens LLC,58,6.13,2.5,Oceania
"Rowe, Lucas and Case",48,9.61,3.6,Asia
"Turner, Miller and Hubbard",82,7.04,4.7,Asia
Sanders PLC,27,9.7,2.9,South America
Hernandez Ltd,97,7.25,3.8,South America
"Patel, Adams and Lopez",91,9.88,2.9,Asia
"Jackson, Mendez and Nguyen",81,7.42,4.4,Asia
Smith-Barr,19,7.39,4.5,Europe
"Martinez, Willis and Barr",9,6.85,4.4,Oceania
"Harris, Edwards and Oconnell",13,9.61,4.4,Europe
Chavez PLC,89,8.6,3.0,Europe
Hill Inc,52,8.82,3.6,Asia
Sheppard LLC,83,5.45,4.6,Europe
"Kennedy, Valdez and Stafford",15,7.36,2.7,North America
Good PLC,17,5.15,3.6,South America
Atkins Ltd,16,9.94,3.3,Oceania
Reynolds and Sons,21,5.44,3.5,North America
"Fowler, Wood and Waters",78,7.37,3.0,Oceania
Thomas-Berg,35,7.73,4.0,Asia
Pope PLC,38,6.69,4.2,Africa
"Marks, Cook and Aguilar",92,6.53,4.0,Europe
Evans-Cannon,27,9.25,4.7,Oceania
"Hines, Rice and Baldwin",79,8.32,3.8,Europe
"Shah, Mcintyre and Villanueva",28,9.56,4.8,Oceania
Ward-Nelson,12,7.7,4.6,Asia
Rodriguez-Wood,27,6.61,2.9,South America
Hood-Ramirez,29,8.11,3.8,North America
Welch-Suarez,97,7.68,4.5,Oceania
Landry Ltd,7,6.18,4.9,Africa
"Skinner, Smith and Wise",24,8.38,3.1,Asia
Miller Group,82,6.24,3.8,Europe
Martin-Jones,31,7.11,3.7,North America
"Nguyen, Olson and Freeman",18,8.78,4.6,Africa
"Hale, Myers and Larson",74,9.69,3.4,South America
Spencer LLC,71,8.45,2.8,Europe
"Nguyen, Padilla and Boyd",63,7.96,3.0,Oceania
Hale Inc,45,8.18,4.5,Asia
Jimenez Inc,3,8.49,3.3,Oceania
Bennett-Velasquez,5,9.39,3.6,North America
"Patel, Adams and Lopez",19,7.18,2.6,North America
Jones-Byrd,60,9.28,4.9,Asia
"Lee, Tran and Jones",99,8.0,3.7,North America
Thompson-Hunter,55,5.21,3.1,South America
"Blanchard, Davis and Schmidt",93,8.56,4.7,Asia
"Hunter, Gross and Andrade",6,7.37,4.2,Asia
"Haas, Cooper and Davis",27,5.86,2.6,North America
"Boyd, Gutierrez and Hill",93,8.25,4.3,Europe
"Adams, Quinn and Watson",47,9.56,3.4,Europe
Anderson Ltd,66,7.48,3.4,Asia
"Bryan, Smith and Booth",86,6.88,5.0,Europe
Terry-Martinez,49,5.98,4.9,South America
Marquez-Fletcher,23,7.01,4.6,South America
"Leach, Skinner and Mills",67,5.93,4.3,North America
Small-Anderson,7,6.98,4.0,South America
"Leonard, Ballard and Miller",42,8.83,4.8,Africa
"Li, Craig and Drake",25,8.1,2.8,North America
Rodriguez-Mendoza,47,8.19,2.6,Europe
Smith-Gutierrez,73,5.76,2.8,Asia
"Hartman, Romero and Smith",12,7.52,4.3,Europe
"Jones, Smith and Hunter",47,7.83,2.6,South America
"Carroll, King and Scott",37,5.07,3.0,Africa
Klein PLC,53,7.63,3.9,South America
"Wilson, Harris and Ward",16,9.75,3.2,North America
"Parker, Ortiz and Powell",95,6.97,3.4,North America
Bruce-Gonzalez,6,6.68,2.7,Asia
"Campbell, Pruitt and Short",34,9.75,3.1,Asia
Edwards-Bennett,73,6.98,3.9,Africa
Luna-Gallagher,98,9.21,2.6,Asia
"Evans, Hayden and Vaughn",82,6.95,4.4,North America
Andrews-Jackson,25,6.43,4.0,Asia
Wilson-Jimenez,55,9.2,4.9,Africa
Goodwin PLC,94,8.1,3.2,Europe
Cortez-Chen,89,7.91,4.8,Oceania
Wright-Espinoza,78,8.75,3.4,Asia
Reynolds and Sons,5,9.93,3.8,Oceania
Myers-Colon,31,5.44,4.2,Asia
Miller-Fields,48,6.46,5.0,North America
Parks LLC,46,7.34,4.6,Africa
Hernandez-Campbell,85,6.27,3.0,Oceania
"Chan, Lewis and Walker",92,8.96,2.6,Europe
Sutton Group,5,5.28,3.5,Asia
Ferguson and Sons,54,9.14,3.4,Europe
Hicks-Hill,49,6.71,3.5,Europe
Ford-Chavez,90,9.18,4.5,Africa
Armstrong-Young,39,6.32,2.8,North America
Moody-Taylor,38,7.02,4.0,Africa
"Brown, Hayes and Clark",36,7.21,3.0,Europe
Campbell-Hall,41,9.09,4.2,Africa
Turner-Stout,92,5.13,3.2,South America
"Pratt, Lopez and Rodriguez",69,6.15,3.4,Oceania
"Carroll, Sullivan and Bass",57,7.84,2.9,South America
Ward and Sons,21,6.65,3.5,Asia
Valentine-Holland,76,8.25,2.7,Europe
Bruce-Gonzalez,12,5.29,4.9,Asia
"Washington, Hardy and Bray",35,6.52,3.3,Europe
Stone PLC,19,8.78,4.6,North America
Watkins-Nguyen,1,6.19,3.0,Africa
Ortiz-Rodriguez,79,8.28,4.0,Asia
"Haney, Harris and Johnson",83,9.35,3.5,Africa
"Estrada, Williams and Foster",44,9.15,4.6,Asia
Jones-Bradley,58,9.68,3.4,Oceania
"Mayer, Fowler and Livingston",88,7.67,4.3,Asia
Thomas Inc,31,9.7,4.6,Oceania
Johnson and Sons,30,7.49,3.5,South America
Kirby and Sons,73,8.88,4.5,Africa
"Powell, Deleon and Warren",99,5.9,4.2,South America
"Gallegos, Adams and White",80,8.48,5.0,North America
"Smith, Arnold and Atkins",20,6.13,3.4,Oceania
"Johnson, Lee and Whitaker",20,7.21,4.8,Oceania
Smith-Bowen,65,7.87,2.6,North America
"Flores, Shaw and Barker",21,8.08,2.8,Asia
"Warren, Gibson and Wood",22,5.56,4.7,Africa
Harris-Melton,11,6.76,4.1,South America
Taylor Inc,98,9.78,4.7,South America
Zhang PLC,92,5.79,3.9,Asia
Maxwell Group,11,8.67,2.7,Africa
Guerra Ltd,13,9.87,3.0,North America
"Quinn, Smith and Green",23,9.34,3.0,South America
"Carroll, Sullivan and Bass",63,5.58,4.7,Asia
Miller-Fields,59,9.78,2.9,South America
"Vargas, Taylor and Hunt",65,9.24,2.8,Europe
Cole-Johnson,20,5.67,4.0,South America
Woods LLC,2,5.5,4.6,Africa
Meadows PLC,62,5.26,4.8,Oceania
King-York,8,6.83,4.7,Oceania
Michael-Barber,50,7.09,3.6,Africa
"Wilson, Smith and Cortez",5,8.64,4.6,North America
Bright-Francis,43,6.07,3.9,Asia
Perez-Rojas,88,5.63,4.4,Africa
"Avery, Horton and Fernandez",23,6.37,4.5,Europe
Conner and Sons,17,6.32,5.0,North America
Wise-Salinas,9,6.47,3.6,Africa
Novak PLC,65,7.95,2.7,Europe
Booker Group,81,5.18,3.7,Europe
"Estrada, Williams and Foster",54,5.22,2.9,Africa
"Roth, Lee and Griffin",91,6.99,2.8,South America
Austin-Duran,43,7.05,3.3,Asia
"Hensley, Lopez and Baker",38,6.52,2.9,Asia
"Shields, Cochran and Adams",71,6.99,2.6,Asia
"Howard, Silva and Hall",11,6.63,3.0,Europe
Cruz PLC,28,8.41,4.9,Europe
Andersen Group,3,7.92,4.7,Oceania
"Greer, Potter and Evans",59,9.94,4.9,Europe
"Herman, Bailey and Richmond",79,7.84,2.7,Asia
"Lopez, Hess and Smith",99,8.94,2.7,Europe
Good-Hodges,12,5.13,4.2,Africa
Wolf-Harris,76,6.69,4.3,Oceania
"Mullins, Steele and Russell",71,8.82,3.6,Africa
Lambert-Nelson,48,7.19,4.5,Asia
"Harris, Edwards and Oconnell",17,8.61,4.3,North America
Atkinson LLC,10,6.96,4.0,Africa
"Warren, Gibson and Wood",24,6.1,4.9,Europe
"Ortega, Jackson and Salazar",49,6.84,3.5,North America
"Woods, Calhoun and Schmidt",58,9.44,4.1,Asia
Martinez Group,67,8.32,3.9,North America
Klein PLC,77,9.46,2.8,Asia
Wise-Salinas,37,7.46,3.1,Oceania
Perez-Rojas,72,6.08,3.0,Asia
"Cox, Stark and Rodriguez",72,6.06,3.1,Africa
Lane Inc,71,6.08,3.0,South America
"Gregory, Nguyen and Daugherty",47,6.45,5.0,Asia
Hines-Berry,72,6.39,2.6,South America
"Nguyen, Olson and Freeman",81,8.47,3.3,Asia
"Warren, Gibson and Wood",81,6.62,3.7,Oceania
"Lopez, Nichols and Clarke",61,9.86,4.0,South America
"Harris, Stephens and Kramer",52,5.73,2.8,North America
"Rivera, Martinez and Richardson",57,5.61,3.3,South America
"Johnson, Mclean and George",20,8.4,3.4,Asia
Sheppard LLC,13,5.57,4.2,Oceania
Young-Alexander,23,8.67,3.6,Europe
"Nguyen, Mccoy and Price",40,9.45,3.8,Oceania
Wilson Inc,94,8.62,3.0,North America
"Flores, Shaw and Barker",57,5.34,3.3,South America
"Murray, Cole and Cole",75,7.32,4.5,Asia
"Butler, Beck and Miller",50,7.48,4.9,Oceania
"Richardson, Brown and Cruz",65,8.14,3.6,Europe
Smith-Frost,90,8.45,3.3,Africa
"Mullen, Brewer and Hernandez",75,5.65,4.0,South America
"Dawson, Cruz and Mccarthy",85,9.55,3.3,North America
Ortiz Inc,2,9.65,3.6,Europe
Weaver-Gibson,14,9.19,4.6,Asia
Davis-Gregory,1,7.37,3.2,Asia
"Rivera, Campos and Taylor",27,8.3,4.1,Asia
Suarez LLC,76,6.65,3.1,South America
"Ward, Jordan and Orr",39,9.25,5.0,Asia
"Garcia, Kim and Barrett",63,6.79,3.2,Oceania
Whitney PLC,28,9.53,2.6,Oceania
Moyer-Bird,18,8.7,4.7,Europe
Donovan-Perez,19,9.59,4.6,North America
"Newton, Ortiz and King",71,8.91,3.9,North America
"Jones, Smith and Hunter",18,7.67,3.2,Europe
Wilson-Dean,25,5.57,3.9,South America
Ray Ltd,70,8.06,4.3,North America
Sawyer Group,42,9.95,3.5,Asia
Lewis Ltd,23,5.77,3.2,South America
Anderson-Campbell,48,6.53,3.7,South America
Harris-Walters,15,8.27,2.7,Europe
Hernandez Ltd,54,8.02,3.0,Asia
"Price, Gray and Baker",68,5.23,4.7,Oceania
"Savage, Huffman and Martin",10,9.0,3.0,Africa
Hart-Castillo,87,8.6,2.6,South America
Smith-Joyce,39,8.71,3.4,Asia
Scott-Wilson,68,8.22,4.7,North America
Cummings and Sons,50,9.34,3.0,Africa
"Harper, Smith and Buchanan",84,8.43,3.6,Europe
Durham-Shaw,33,8.14,3.5,Africa
"Chavez, Sanchez and Bird",30,5.28,3.6,Asia
"Marshall, Schultz and Dalton",96,6.37,3.1,Asia
Richardson-Jimenez,76,6.04,3.5,South America
"Chavez, Sanchez and Bird",37,7.33,2.7,Oceania
King-Lawrence,14,5.05,4.4,South America
Smith-Gonzalez,16,5.15,4.9,South America
Lee-Gregory,58,9.81,3.8,Europe
Reyes Group,40,8.27,3.8,Oceania
"Taylor, Wright and Davidson",53,6.82,4.6,South America
Larson-Holmes,90,5.3,4.7,North America
"Leach, Harris and Herrera",12,7.24,3.5,Europe
Phillips PLC,14,9.11,2.8,North America
Matthews-Shaw,92,9.86,3.2,Asia
"Smith, Weeks and Arroyo",70,6.45,4.9,Oceania
Boone LLC,91,6.13,2.9,Africa
Spence PLC,90,5.81,2.5,South America
Castaneda-Ashley,10,5.92,4.2,Oceania
Stafford PLC,4,5.29,3.5,North America
Mccall PLC,17,8.07,3.6,Asia
Henderson Ltd,75,9.97,2.6,Africa
Lee Ltd,21,6.19,4.1,Africa
"Hensley, Lopez and Baker",83,9.54,2.8,Oceania
"Serrano, Marsh and Gonzalez",27,9.87,3.5,Africa
"Moreno, Perez and Lang",64,8.54,4.2,South America
"Kim, Gonzales and Mills",97,5.4,4.2,Asia
"Morse, Silva and Johnson",25,7.75,4.5,Oceania
"Buchanan, Walker and Chapman",1,5.14,3.9,Asia
Smith-Joyce,20,6.07,4.3,Asia
"Anderson, Thompson and Gill",91,6.57,3.7,Asia
Hernandez-Davis,85,6.54,4.7,South America
"Fowler, Jimenez and Burton",63,8.49,4.8,Europe
Conway-Mann,8,6.08,3.0,Oceania
"Fox, Chapman and Stone",41,9.39,4.3,South America
Perez Group,1,9.54,2.8,Oceania
Bishop Inc,66,9.78,2.8,Asia
Bryant Group,36,5.58,2.7,Europe
Ballard Group,18,6.81,3.4,Oceania
"Estrada, Williams and Foster",71,7.49,3.4,Asia
"Arnold, Avila and Wilson",45,5.45,4.6,Oceania
"Holmes, Williams and Wright",98,7.32,4.0,South America
"Choi, Collier and Lee",60,6.03,2.8,Asia
Berry-Rivera,17,7.07,4.6,Europe
Stewart-Cabrera,28,5.34,2.9,Europe
"Ward, Jordan and Orr",27,7.42,2.7,South America
Woods LLC,90,8.75,4.9,South America
Knox-Powers,78,8.96,2.7,Asia
Bowers Group,97,9.17,3.4,Oceania
"Willis, Vasquez and Goodwin",82,5.89,2.9,South America
Tate Inc,26,6.77,5.0,Oceania
"Foley, Ibarra and Daniel",41,6.1,2.9,Oceania
"Pittman, Campbell and Martin",16,6.44,4.9,Africa
"Rowe, Lucas and Case",91,5.97,3.5,Africa
Mitchell-Jordan,59,5.31,3.0,Asia
"Hernandez, Riley and Buckley",49,8.92,3.6,South America
"Brooks, Greene and Rowland",31,5.46,3.7,Europe
"Roth, Logan and Moreno",81,6.0,4.5,North America
"Blanchard, Davis and Schmidt",99,9.37,3.1,Oceania
Stokes Inc,50,5.8,3.4,Africa
"Henderson, Cox and Cox",87,7.8,3.5,Europe
Foster Inc,94,7.54,3.6,Europe
Edwards-Ramsey,63,6.94,4.8,Africa
Boone-Davis,23,8.14,3.5,Africa
Sims-Weber,71,8.32,2.7,Europe
Erickson Inc,49,8.75,2.8,Asia
Bryant-Meyer,56,5.09,4.2,South America
"Mullins, Steele and Russell",24,7.11,3.4,North America
Sellers-Zuniga,49,9.91,3.6,Europe
"Gregory, White and James",69,6.34,2.8,South America
Adams-Sanders,22,8.36,3.6,Asia
"Burns, Nguyen and Ellis",39,9.59,3.0,Asia
Williams PLC,23,6.18,4.7,North America
Schneider Group,65,8.75,4.9,Oceania
"Liu, Buchanan and Meyer",15,7.83,4.4,Asia
"Walker, Cunningham and Zuniga",95,8.26,3.2,North America
"Reyes, Chase and Jenkins",14,6.58,3.7,Asia
Washington-Esparza,62,9.65,3.6,South America
"Williams, Horn and Morales",28,7.52,3.5,North America
Kent Inc,93,9.47,2.6,Europe
Hill-Flores,55,9.95,5.0,Africa
May Inc,85,7.28,5.0,Asia
Ford-Chavez,95,7.75,4.0,Africa
"Watson, Anderson and Brown",2,9.16,4.4,South America
Cole Group,77,8.38,3.6,South America
Clark-Figueroa,24,9.99,3.4,Asia
"King, Nixon and West",2,6.2,4.9,Oceania
Wright Ltd,66,9.73,2.9,Oceania
Welch-Thomas,1,9.56,3.1,South America
"Jordan, Thompson and Lopez",59,7.96,4.2,North America
Baxter LLC,27,5.41,3.9,North America
Bell-Hardy,47,6.61,3.0,Asia
"Reeves, Parks and Little",18,9.19,3.2,Oceania
Harrell LLC,92,7.32,3.1,Africa
Friedman-Olson,65,6.74,3.6,Asia
"Trevino, Henderson and Gonzalez",94,9.49,4.6,Oceania
Baker Ltd,47,8.57,4.6,North America
Harvey PLC,18,8.54,4.1,Oceania
Kirk-Gutierrez,14,7.97,3.5,Asia
Lewis-Livingston,99,5.78,3.7,South America
Delgado Group,65,7.97,3.9,Europe
Ramirez Inc,67,8.18,3.3,Europe
Williams-Li,53,7.69,4.3,Africa
Benton Group,88,7.47,4.8,Africa
Moore-Murray,19,6.03,4.8,South America
Kane-Knox,59,8.48,2.5,North America
"Powell, Johnson and Allen",20,7.43,3.8,Asia
Salazar-Ball,92,8.67,4.6,Africa
Butler-French,38,8.67,4.8,North America
Hicks-Burns,82,9.92,4.8,Europe
Gray-Ruiz,28,8.57,2.6,North America
Clark Ltd,38,8.0,3.5,North America
Thompson-Wright,79,5.09,2.8,Europe
"Kennedy, Valdez and Stafford",99,9.89,4.7,South America
Gonzalez-Marsh,18,6.79,3.2,Africa
Jackson-Torres,95,9.78,4.8,South America
"Thompson, Phelps and Stuart",24,8.55,4.7,North America
"Lloyd, Mckinney and Collins",73,6.17,4.8,Europe
"Rivera, Campos and Taylor",92,9.83,3.6,Asia
Garcia-Thomas,3,9.44,3.0,Africa
"Carroll, King and Scott",90,8.4,4.9,South America
"Smith, Griffith and Tucker",69,8.68,3.5,North America
"Miller, Mcdowell and Curtis",25,5.52,5.0,Oceania
Drake-Wolfe,7,7.5,4.4,Oceania
Garcia-Thomas,66,5.0,4.6,Asia
Adams-Butler,96,7.53,3.5,Europe
Harrell LLC,41,9.54,4.4,South America
Randall LLC,71,7.33,2.7,Africa
Williams PLC,70,9.82,3.0,Oceania
James Group,98,7.39,4.3,Europe
Ramirez-Vasquez,33,6.2,3.9,Oceania
Pope PLC,96,6.02,3.0,South America
Medina-Navarro,27,7.7,2.6,South America
Dawson Inc,74,6.27,3.3,Oceania
"King, Nixon and West",21,9.3,3.4,Europe
Cortez-Olson,13,9.57,3.9,Asia
Porter LLC,54,7.31,4.6,Europe
Huang-Foster,33,7.77,4.3,Oceania
"Arnold, Cooper and Monroe",25,8.51,3.2,South America
Decker and Sons,67,6.08,4.6,Oceania
Carrillo-Wolfe,9,5.92,2.7,Europe
Hernandez-Dawson,28,8.73,3.5,North America
"Stuart, Brooks and Vance",39,6.93,3.5,South America
Johnson-Thomas,56,7.13,4.6,Asia
Rose-Warren,5,9.35,3.6,Oceania
"Murray, Cole and Cole",39,6.48,4.5,Asia
"Charles, Brown and Smith",15,7.25,4.3,Africa
"Nguyen, Wallace and Lawson",20,9.43,2.5,North America
Giles Ltd,26,7.9,3.8,Oceania
"Valencia, Joseph and Walls",33,6.25,3.7,Europe
Yu-Yates,53,7.56,4.9,North America
Vargas Ltd,14,7.92,2.9,Oceania
Garcia-Thomas,13,8.18,4.8,Asia
"Payne, Cisneros and Johnson",48,5.09,4.1,Oceania
Villegas PLC,34,7.15,2.8,South America
Todd-Harvey,82,6.24,4.7,Asia
"Andrews, Higgins and Carter",60,7.65,3.2,Asia
